Year,League,TeamIdAlt,FranchiseId,Division,Rank,Wins,Losses,Runs,HomeRuns,ERA,Name,Park,TeamId
1884,NL,DTN,DTN,,8,28,84,445,31,3.38,Detroit Wolverines,Recreation Park,DTN
1884,AA,IN2,IHO,,12,29,78,462,20,4.2,Indianapolis Hoosiers,Seventh Street Park,IND
1884,UA,KCU,KCU,,11,16,63,311,6,4.06,Kansas City Cowboys,,KCC
1884,AA,LS2,LOU,,3,68,40,573,17,2.17,Louisville Eclipse,Eclipse Park I,LOU
1884,UA,MLU,MLU,,2,8,4,53,0,2.25,Milwaukee Brewers,,MIL
1884,NL,NY1,SFG,,4,62,50,693,23,3.12,New York Gothams,Polo Grounds I,NYG
1884,AA,NY4,NYP,,1,75,32,734,22,2.46,New York Metropolitans,Polo Grounds I West Diamond,NYP
1884,AA,PH4,PHA,,7,61,46,700,26,3.42,Philadelphia Athletics,Jefferson Street Grounds,PHA
1884,NL,PHI,PHI,,6,39,73,549,14,3.93,Philadelphia Quakers,Recreation Park,PHI
1884,UA,PHU,PHK,,8,21,46,414,7,4.63,Philadelphia Keystones,,PHK
1884,NL,PRO,PRO,,1,84,28,665,21,1.61,Providence Grays,Messer Street Grounds,PRO
1884,AA,PT1,PIT,,11,30,78,406,2,4.35,Pittsburg Alleghenys,Recreation Park,PIT
1884,AA,RIC,RIC,,10,12,30,194,7,4.52,Richmond Virginians,Allen Pasture,RIC
1884,AA,SL4,STL,,4,67,40,658,11,2.67,St. Louis Browns,Sportsman's Park I,STL
1884,UA,SLU,SLM,,1,94,19,887,32,1.96,St. Louis Maroons,,SLM
1884,UA,SPU,STP,,9,2,6,24,0,3.17,St. Paul White Caps,,STP
1884,AA,TL1,TOL,,8,46,58,463,8,3.06,Toledo Blue Stockings,League Park,TOL
1884,UA,WIL,WIL,,12,2,16,35,2,3.04,Wilmington Quicksteps,,WIL
1884,AA,WS7,WST,,13,12,51,248,6,4.01,Washington Nationals,Athletic Park,WAS
1884,UA,WSU,WNA,,7,47,65,572,4,3.44,Washington Nationals,,WHS
1885,NL,BFN,BUF,,7,38,74,495,23,4.29,Buffalo Bisons,Olympic Park I,BUF
1885,AA,BL2,BLO,,8,41,68,541,17,3.9,Baltimore Orioles,Oriole Park,BAL
1885,AA,BR3,LAD,,5,53,59,624,14,3.46,Brooklyn Grays,Washington Park I,BRO
1885,NL,BSN,ATL,,5,46,66,528,22,3.03,Boston Beaneaters,South End Grounds I,BSN
1885,NL,CHN,CHC,,1,87,25,834,54,2.23,Chicago White Stockings,West Side Park I,CHC
1885,AA,CN2,CIN,,2,63,49,642,26,3.26,Cincinnati Red Stockings,League Park I in Cincinnati,CIN
1885,NL,DTN,DTN,,6,41,67,514,25,2.88,Detroit Wolverines,Recreation Park,DTN
1885,AA,LS2,LOU,,6,53,59,564,19,2.68,Louisville Colonels,Eclipse Park I,LOU
1885,NL,NY1,SFG,,2,85,27,691,16,1.72,New York Giants,Polo Grounds I,NYG
1885,AA,NY4,NYP,,7,44,64,526,21,4.15,New York Metropolitans,Polo Grounds I West Diamond,NYP
1885,AA,PH4,PHA,,4,55,57,764,30,3.23,Philadelphia Athletics,Jefferson Street Grounds,PHA
1885,NL,PHI,PHI,,3,56,54,513,20,2.39,Philadelphia Quakers,Recreation Park,PHI
1885,NL,PRO,PRO,,4,53,57,442,6,2.71,Providence Grays,Messer Street Grounds,PRO
1885,AA,PT1,PIT,,3,56,55,547,5,2.92,Pittsburg Alleghenys,Recreation Park,PIT
1885,AA,SL4,STL,,1,79,33,677,17,2.44,St. Louis Browns,Sportsman's Park I,STL
1885,NL,SL5,SLM,,8,36,72,390,8,3.37,St. Louis Maroons,Sportsman's Park I,SLM
1886,AA,BL2,BLO,,8,48,83,625,8,4.08,Baltimore Orioles,Oriole Park,BAL
1886,AA,BR3,LAD,,3,76,61,832,16,3.42,Brooklyn Grays,Washington Park I,BRO
1886,NL,BSN,ATL,,5,56,61,657,24,3.24,Boston Beaneaters,South End Grounds I,BSN
1886,NL,CHN,CHC,,1,90,34,900,53,2.54,Chicago White Stockings,West Side Park I,CHC
1886,AA,CN2,CIN,,5,65,73,883,45,4.18,Cincinnati Red Stockings,League Park I in Cincinnati,CIN
1886,NL,DTN,DTN,,2,87,36,829,53,2.85,Detroit Wolverines,Recreation Park,DTN
1886,NL,KCN,KCN,,7,30,91,494,19,4.84,Kansas City Cowboys,Association Park,KCN
1886,AA,LS2,LOU,,4,66,70,833,20,3.07,Louisville Colonels,Eclipse Park I,LOU
1886,NL,NY1,SFG,,3,75,44,692,21,2.86,New York Giants,Polo Grounds I,NYG
1886,AA,NY4,NYP,,7,53,82,628,18,3.5,New York Metropolitans,St. George Cricket Grounds,NYP
1886,AA,PH4,PHA,,6,63,72,772,21,3.97,Philadelphia Athletics,Jefferson Street Grounds,PHA
1886,NL,PHI,PHI,,4,71,43,621,26,2.45,Philadelphia Quakers,Recreation Park,PHI
1886,AA,PT1,PIT,,2,80,57,810,16,2.83,Pittsburg Alleghenys,Recreation Park,PIT
1886,AA,SL4,STL,,1,93,46,944,20,2.49,St. Louis Browns,Sportsman's Park I,STL
1886,NL,SL5,SLM,,6,43,79,547,30,3.24,St. Louis Maroons,Sportsman's Park I,SLM
1886,NL,WS8,WNL,,8,28,92,445,23,4.3,Washington Nationals,Swampdoodle Grounds,WHS
1887,AA,BL2,BLO,,3,77,58,975,31,3.87,Baltimore Orioles,Oriole Park,BAL
1887,AA,BR3,LAD,,6,60,74,904,25,4.47,Brooklyn Grays,Washington Park I,BRO
1887,NL,BSN,ATL,,5,61,60,831,53,4.41,Boston Beaneaters,South End Grounds I,BSN
1887,NL,CHN,CHC,,3,71,50,813,80,3.46,Chicago White Stockings,West Side Park I,CHC
1887,AA,CL3,CLV,,8,39,92,729,14,4.99,Cleveland Blues,National League Park II,CLE
1887,AA,CN2,CIN,,2,81,54,892,37,3.58,Cincinnati Red Stockings,League Park I in Cincinnati,CIN
1887,NL,DTN,DTN,,1,79,45,969,55,3.95,Detroit Wolverines,Recreation Park,DTN
1887,NL,IN3,IND,,8,37,89,628,33,5.24,Indianapolis Hoosiers,Athletic Park I,IND
1887,AA,LS2,LOU,,4,76,60,956,27,3.82,Louisville Colonels,Eclipse Park I,LOU
1887,NL,NY1,SFG,,4,68,55,816,48,3.57,New York Giants,Polo Grounds I,NYG
1887,AA,NY4,NYP,,7,44,89,754,21,5.28,New York Metropolitans,St. George Cricket Grounds,NYP
1887,AA,PH4,PHA,,5,64,69,893,29,4.59,Philadelphia Athletics,Jefferson Street Grounds,PHA
1887,NL,PHI,PHI,,2,75,48,901,47,3.47,Philadelphia Quakers,Philadelphia Baseball Grounds,PHI
1887,NL,PIT,PIT,,6,55,69,621,20,4.12,Pittsburg Alleghenys,Recreation Park,PIT
1887,AA,SL4,STL,,1,95,40,1131,39,3.77,St. Louis Browns,Sportsman's Park I,STL
1887,NL,WS8,WNL,,7,46,76,601,47,4.19,Washington Nationals,Swampdoodle Grounds,WHS
1888,AA,BL2,BLO,,5,57,80,653,19,3.78,Baltimore Orioles,Oriole Park,BAL
1888,AA,BR3,LAD,,2,88,52,758,25,2.33,Brooklyn Bridegrooms,Washington Park I,BRO
1888,NL,BSN,ATL,,4,70,64,669,56,2.61,Boston Beaneaters,South End Grounds II,BSN
1888,NL,CHN,CHC,,2,77,58,734,77,2.96,Chicago White Stockings,West Side Park I,CHC
1888,AA,CL3,CLV,,6,50,82,651,12,3.72,Cleveland Blues,National League Park II,CLE
1888,AA,CN2,CIN,,4,80,54,745,32,2.73,Cincinnati Red Stockings,League Park I in Cincinnati,CIN
1888,NL,DTN,DTN,,5,68,63,721,51,2.74,Detroit Wolverines,Recreation Park,DTN
1888,NL,IN3,IND,,7,50,85,603,34,3.81,Indianapolis Hoosiers,Athletic Park II,IND
1888,AA,KC2,KCC,,8,43,89,579,19,4.29,Kansas City Cowboys,Association Park I,KCC
1888,AA,LS2,LOU,,7,48,87,689,14,3.25,Louisville Colonels,Eclipse Park I,LOU
1888,NL,NY1,SFG,,1,84,47,659,55,1.96,New York Giants,Polo Grounds I,NYG
1888,AA,PH4,PHA,,3,81,52,827,31,2.41,Philadelphia Athletics,Jefferson Street Grounds,PHA
1888,NL,PHI,PHI,,3,69,61,535,16,2.38,Philadelphia Quakers,Philadelphia Baseball Grounds,PHI
1888,NL,PIT,PIT,,6,66,68,534,14,2.67,Pittsburg Alleghenys,Recreation Park,PIT
1888,AA,SL4,STL,,1,92,43,789,36,2.09,St. Louis Browns,Sportsman's Park I,STL
1888,NL,WS8,WNL,,8,48,86,482,30,3.54,Washington Nationals,Swampdoodle Grounds,WHS
1889,AA,BL2,BLO,,5,70,65,791,20,3.56,Baltimore Orioles,Oriole Park,BAL
1889,AA,BR3,LAD,,1,93,44,995,47,3.61,Brooklyn Bridegrooms,Washington Park I,BRO
1889,NL,BSN,ATL,,2,83,45,826,42,3.36,Boston Beaneaters,South End Grounds II,BSN
1889,NL,CHN,CHC,,3,67,65,867,79,3.73,Chicago White Stockings,West Side Park I,CHC
1889,NL,CL4,CLV,,6,61,72,656,25,3.66,Cleveland Spiders,National League Park,CLV
1889,AA,CL6,CLS,,6,60,78,779,36,4.39,Columbus Solons,Recreation Park II,COL
1889,AA,CN2,CIN,,4,76,63,897,52,3.5,Cincinnati Red Stockings,League Park I in Cincinnati,CIN
1889,NL,IN3,IND,,7,59,75,819,62,4.85,Indianapolis Hoosiers,Athletic Park II,IND
1889,AA,KC2,KCC,,7,55,82,852,18,4.36,Kansas City Cowboys,Exposition Park,KCC
1889,AA,LS2,LOU,,8,27,111,632,22,4.81,Louisville Colonels,Eclipse Park I,LOU
